;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;µg;alfa-TE;mg
1.001;Helmelk, 3,5 % fett;88;264;3.5;9;4.6;0;3.3;34;0;0.1;0
1.002;Lettmelk, 1,2 % fett;90;180;1.2;3;4.7;0;3.3;12;0;0;0
1.003;Skummet melk;91;141;0.1;0;4.8;0;3.3;1;0;0;0
1.008;Sjokolademelk;85;252;1.4;4;8.4;0;3.4;14;0;0;0
1.011;Yoghurt, naturell;86;313;4;11;5.6;0;4.1;38;0;0.1;0
1.013;Geitmelk, langtidsholdbar;88;250;3.3;5;4.6;0;2.9;30;0;0;0
1.015;Kremfløte, 38 % fett;57;1491;38;102;2.9;0;2.1;510;0.2;0.9;0
1.018;Iskrem, fløtebasert;64;812;10;33;23;0;3;122;0.1;0.2;0
1.02;Sjokoladepudding, Piano;77;447;3.5;14;15.5;0;3.2;24;0;0.1;0
1.023;Vaniljesaus, Piano;73;624;8.5;35;15.5;0;2.7;58;0;0.2;0
1.025;Camembert, ost;49;1344;27.4;73;0;0;19.4;281;0.1;0.6;0
1.027;Cheddar, ost;37;1637;32.3;87;0.3;0;25.7;335;0.2;0.7;0
1.028;Cottage Cheese, ost;81;401;4.3;12;1.5;0;12.7;51;0;0.1;0
1.03;Edamer, ost;41;1458;27;72;0;0;27;283;0.1;0.5;0
1.032;Gamalost;43;885;0.3;3;1.7;0;49.7;11;0;0.1;0
1.035;Jarlsberg, ost;41;1525;29;75;0;0;26.6;264;0.1;0.5;0
1.037;Normanna, ost;46;1401;28.4;76;0;0;20.6;294;0.1;0.5;0
1.038;Gräddost;38;1675;36.5;98;0;0;19.1;288;0.2;0.7;0
1.039;Hvitost, type Norvegia;41;1471;27.3;73;0.1;0;27;283;0.1;0.5;0
1.04;Hvitost, lettere, type Norvegia;47;1126;16;43;0.1;0;31.3;151;0.1;0.3;0
1.042;Norzola, ost;43;1644;36.7;98;0;0;16.8;367;0.2;0.6;0
1.043;Nøkkelost;41;1460;27.1;73;0;0;26.9;283;0.1;0.5;0
1.046;Port Salut, ost;46;1329;24.7;66;0;0;24.4;251;0.1;0.4;0
1.047;Pultost, mager;55;666;1;3;0;0;37;11;0;0.1;0
1.048;Ridderost;38;1749;38;102;0;0;20.2;227;0.2;0.7;0
1.05;Sveitserost;39;1536;28.5;76;0;0;28.3;190;0.1;0.5;0
1.052;Geitost, brunost;19;1854;27.6;74;37;0;12;317;0.1;0.6;0
1.053;Fløtemysost, brunost;19;1878;28;75;37.5;0;12;297;0.1;0.6;0
1.054;Fløtemysost, brunost, lettere;27;1590;16.6;44;46.4;0;11;178;0.1;0.4;0
1.055;Gudbrandsdalsost, brunost;19;1900;29.4;79;37.4;0;10.4;311;0.2;0.6;0
1.058;Gomme, Namdal;40;1175;12;32;32;0;11;131;0.1;0.2;0
1.059;Prim;31;1295;8.9;24;50.4;0;6.4;95;0;0.1;0
1.06;Prim, mager;33;1169;4.2;11;53.1;0;6.5;45;0;0;0
1.062;Crème Chérie mykost;50;1379;30.8;83;0;0;14.1;161;0.2;0.6;0
1.063;Baconost, smørbar;62;867;16.9;45;0;0;14.2;180;0.1;0.3;0
1.064;Magerost, smørbar, 7 %;71;547;6.5;17;0;0;18;53;0;0.2;0
1.066;Mozzarella, ost;45;1320;22.9;61;0.7;0;27.1;197;0.1;0.4;0
1.071;Jarlsberg, lettere;47;1117;16;43;0;0;30.9;106;0.1;0.3;0
1.072;Gudbrandsdalsost, brunost, lettere;27;1590;16.6;44;46.3;0;11.1;173;0.1;0.4;0
1.074;Yoghurt, drikke, frukt;81;330;1.3;4;12.8;0;3.8;14;0;0;0
1.078;Karamellpudding, Piano;73;549;6.2;36;16;0;2.8;59;0.1;0.2;0
1.079;Milkshake, sjokoladesmak;82;328;1.5;4;12;0;4;12;0;0;0
1.081;Iskrem, lettis, med mindre sukker og fett;72;459;5.7;12;10.3;0;4.3;31;0;0.8;0
1.082;Cultura, syrnet melk, naturell, økologisk;90;183;1.4;4;4.4;0;3.3;14;0;0;0
1.083;Kulturmelk, syrnet melk;88;254;3.5;9;4;0;3.3;34;0;0.1;0
1.084;Kefir, syrnet økologisk melk;88;254;3.5;9;4;0;3.3;34;0;0.1;0
1.085;Kulturmelk, skummet;92;139;0.4;1;4.1;0;3.2;1;0;0;0
1.086;Seterrømme, 35 % fett;61;1382;35;94;2.9;0;2.2;471;0.2;0.8;0
1.087;Lettrømme, 20 % fett;74;829;19.6;53;3.4;0;2.7;279;0.1;0.5;0
1.088;Rømmekolle, ekstra lett, 10 % fett;80;486;10;27;3.9;0;2.9;99;0;0.2;0
1.089;Crème Fraîche, 35 % fett;60;1382;35;94;2.9;0;2.2;471;0.2;0.8;0
1.09;Yoghurt, frukt, lett, 0,5 % fett;82;296;0.6;3;12.4;0;3.7;9;0;0;0
1.094;Yoghurt, frukt, med müsli;69;586;3.9;13;21.1;1.2;4.3;30;0;0.1;0
1.096;Yoghurt, frukt;78;408;3.4;9;13;0;3.6;29;0;0.1;0
1.099;Cultura, syrnet melk, pære;84;303;1.4;4;11.8;0;3;13;0;0;0
1.104;Milkshake, jordbærsmak;83;305;1.4;4;11;0;3.9;12;0;0;0
1.107;Yoghurt, frukt, Litago;79;402;3.8;10;11.8;0;3.6;38;0;0.1;10
1.108;Kaffefløte, 10 % fett;82;492;10;27;4.2;0;3;118;0;0.2;0
1.109;Kaffemelk, 3,9 % fett;86;277;3.9;10;4.6;0;3.2;38;0;0.1;0
1.111;Vaniljekrem, Piano;73;627;8.8;36;15;0;2.7;60;0;0.2;0
1.112;Romkrem, Piano;72;639;9.1;37;15.1;0;2.7;55;0;0.2;0
1.115;Norbo, ost;42;1480;28.5;76;0;0;25;294;0.1;0.5;0
1.117;Snøfrisk, smørbar geitost;64;1039;24.3;57;2.2;0;6;175;0.2;0.2;0
1.118;Lettmelk, laktoseredusert, 1,5 % fett;90;195;1.5;4;4.8;0;3.4;14;0.4;0;0
1.119;Lettmelk, langtidsholdbar, 1,5 % fett;90;193;1.5;4;4.8;0;3.3;14;0;0;0
1.12;Cultura, syrnet melk, jordbær, D-vitamin;84;292;1.4;4;11.1;0;3;12;0.4;0;0
1.127;Melk med smak, Litago;85;256;1.4;4;8.8;0;3.2;21;0;0;0
1.131;Mandelpudding, Piano;77;443;3.3;14;16;0;2.9;23;0;0.1;0
1.136;Brie, ost;46;1472;31.7;85;0;0;17.6;346;0.2;0.6;0
1.138;Mozzarella, ost, lettere;48;1116;16;43;0.5;0;30.3;137;0.1;0.3;0
1.142;Nøkkelost, lettere;45;1161;17.1;46;0;0;31.1;161;0.1;0.3;0
